Date,Time,Latitude,Longitude,Magnitude,Epicenter
2015-05-24,10:38 AM,27.76,86.28,4.0,Dolakha
2015-05-24,11:46 AM,27.84,86,4.0,Sindhupalchowk
2015-05-24,12:55 PM,27.8,86.29,4.0,Dolakha
2015-05-24,11:15 PM,27.76,86.26,4.0,Dolakha
2015-05-25,3:23 AM,28.01,84.68,5.0,Gorkha
2015-05-25,11:00 AM,27.71,86.07,4.0,Dolakha
2015-05-25,10:16 PM,27.74,86.19,4.0,Dolakha
2015-05-26,2:11 PM,27.84,86.24,4.0,Dolakha
2015-05-26,5:48 PM,27.63,86.3,4.0,Dolakha
2015-05-26,6:39 PM,27.71,86.05,4.0,Dolakha
2015-05-26,8:00 PM,27.54,85.43,4.0,Lalitpur
2015-05-26,10:52 PM,28.02,85.26,5.0,Rasuwa
2015-05-27,12:03 PM,27.59,86.2,4.0,Dolakha
2015-05-27,1:15 PM,27.91,85.53,4.0,Sindhupalchowk
2015-05-27,1:16 PM,27.89,85.53,4.0,Sindhupalchowk
2015-05-27,10:29 PM,28.04,85.13,4.0,Nuwakot
2015-05-28,3:07 AM,27.99,84.79,4.0,Dhading
2015-05-28,3:40 AM,27.95,84.8,4.0,Dhading
2015-05-28,5:12 AM,27.64,85.31,4.0,Kathmandu
2015-05-28,5:29 AM,27.77,86.25,4.0,Dolakha
2015-05-28,11:36 AM,27.59,86.19,4.0,Dolakha
2015-05-28,12:14 PM,27.59,86.16,4.0,Dolakha
2015-05-28,10:16 PM,27.94,85.54,4.0,Sindhupalchowk
2015-05-29,12:37 AM,27.82,86.34,4.0,Dolakha
2015-05-29,5:20 AM,28.07,84.94,4.0,Dhading
2015-05-29,8:30 AM,28.17,84.72,4.0,Gorkha
2015-05-29,12:30 PM,28.01,84.84,4.0,Dhading
2015-05-29,3:44 PM,28,84.98,5.0,Dhading
2015-05-30,1:52 AM,27.75,85.21,4.0,Dhading
2015-05-30,8:35 PM,28.01,85.19,4.0,Rasuwa
2015-05-30,10:13 PM,27.79,85.17,4.0,Nuwakot
2015-05-31,1:54 PM,28.29,84.46,4.0,Lamjung
2015-06-01,22:50,27.98,85.51,4.0,Sindhupalchowk
2015-06-02,05:03,27.78,86.2,4.0,Dolakha
2015-06-02,8:33 PM,30,81.75,4.0,Humla
2015-06-03,21:00,27.84,85.78,4.0,Sindhupalchowk
2015-06-03,07:52,27.79,85.87,4.0,Sindhupalchowk
2015-06-03,08:54,27.76,86.07,4.0,Dolakha
2015-06-03,11:53,27.7,86.26,4.0,Dolakha
2015-06-04,10:30,27.76,86.2,4.0,Dolakha
2015-06-05,04:17,27.79,85.78,4.0,Sindhupalchowk
2015-06-05,08:31,27.7,85.22,4.0,Kathmandu
2015-06-06,20:48,28.26,85.86,4.0,Tibet
2015-06-06,17:00,27.58,86.18,4.0,Dolakha
2015-06-07,05:17,27.9,85.64,4.0,Sindhupalchowk
2015-06-07,16:50,27.87,86.13,4.0,Dolakha
2015-06-10,21:05,27.87,85.81,4.0,Sindhupalchowk
2015-06-10,07:51,27.8,85.61,4.0,Sindhupalchowk
2015-06-10,09:06,27.62,86.1,4.0,Dolakha
2015-06-11,18:41,27.67,86.07,4.0,Dolakha
2015-06-11,04:17,27.8,85.78,4.0,Sindhupalchowk
2015-06-11,16:12,27.96,85.73,5.0,Sindhupalchowk
2015-06-12,19:37,28.21,84.81,4.0,Gorkha
2015-06-12,04:34,27.67,86.09,4.0,Dolakha
2015-06-13,01:18,27.73,86.16,5.0,Dolakha
2015-06-14,00:14,27.8,85.15,4.0,Nuwakot
2015-06-14,09:16,27.74,86.26,4.0,Dolakha
2015-06-15,10:07,27.87,85.72,4.0,Sindhupalchowk
2015-06-16,16:11,27.7,86.16,4.0,Dolakha
2015-06-17,00:13,27.68,85.28,4.0,Kathmandu
2015-06-17,00:29,27.91,85.59,5.0,Sindhupalchok
2015-06-17,00:41,27.9,85.58,4.0,Sindhupalchok
2015-06-17,02:15,28.27,85.94,5.0,Tibet
2015-06-18,02:39,28.14,85.11,4.0,Dhading
2015-06-19,20:05,28.26,84.92,4.0,Gorkha
2015-06-20,20:55,28.17,84.94,4.0,Gorkha
2015-06-20,12:23 PM,28.65,82.76,5.0,Rukum
2015-06-21,13:41,27.8,86,4.0,Sindupalchok
2015-06-22,07:34,27.67,86.17,4.0,Dolakha
2015-06-24,09:14,27.85,85.75,4.0,Sindhupalchowk
2015-06-25,15:22,27.78,85.17,4.0,Nuwakot
2015-06-25,18:04,27.66,86.21,4.0,Dolakha
2015-06-25,18:06,27.94,85.49,4.0,Sindhupalchok
2015-06-26,09:00,27.58,85.39,4.0,Lalitpur
2015-06-26,12:17,27.74,86.28,4.0,Dolakha
2015-06-28,16:16,27.92,85.66,4.0,Sindhupalchok
